工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
令和６年度　下水道施設小規模工事（単価契約・垂水・西）,2024/3/1,単価契約,3,56496,56896,51418,石坂建設（株）,土木一般,0.904
海運町雨水幹線改築工事（その２）,2024/2/7,事後審査型制限付一般競争入札,3,89980000,93796000,84807700,（株）中西組,土木一般,0.904
湊川公園駐車場補修工事,2024/1/31,事後審査型制限付一般競争入札,12,84424400,92475000,83568300,六神建設（有）,土木一般,0.904
多聞台団地バスロータリー改修工事,2024/1/26,事後審査型制限付一般競争入札,3,53000000,53078000,47981400,（株）住田建設,土木一般,0.904
神戸駅前再整備配水管移設工事その１,2023/9/1,事後審査型制限付一般競争入札,7,52450000,57493000,51986400,（株）建部,土木一般,0.904
ひよどり台１丁目地区他汚水管耐震化工事,2023/7/12,事後審査型制限付一般競争入札,32,76920000,78620000,71091200,（株）ＮＳフォスター,土木その他,0.904
長田楠日尾線（五番町）電線共同溝整備工事,2023/7/12,事後審査型制限付一般競争入札,2,103421000,103421000,93444600,北浦建設（株）,土木一般,0.904
山麓線（高羽）街路築造及び電線共同溝整備工事（その２）,2023/6/2,事後審査型制限付一般競争入札 合併入札,3,157051000,157051000,141975000,十河建設（株）,土木一般,0.904
山麓線（高羽）電線共同溝整備に伴う汚水管移設工事,2023/6/2,事後審査型制限付一般競争入札 合併入札,3,157051000,157051000,141975000,十河建設（株）,土木一般,0.904
須磨ヨットハーバー給油浮桟橋改修工事,2023/5/12,事後審査型制限付一般競争入札,2,22300000,22423000,20277800,兵庫県湾岸開発（株）,港湾土木,0.904
ゆずりは橋高質化工事その２,2023/4/26,事後審査型制限付一般競争入札,9,150800000,165238000,149326600,（株）間地工業,ＰＣ,0.904
青木駅南線街路築造工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,6,72620100,80331000,72618300,山崎建設（株）,土木一般,0.904
東灘（阪神青木駅前）配水管新設工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,6,72620100,80331000,72618300,山崎建設（株）,土木一般,0.904
摩耶コンテナバース労休所便所改修工事,2023/4/19,事後審査型制限付一般競争入札,13,11098000,12250000,11079200,（有）光洋重工,建築一般,0.904
東クリーンセンター機器冷却塔ヤード上部通気口鉄骨改修工事,2024/9/11,事後審査型制限付一般競争入札,5,18242100,20100000,18153300,（有）Ｔ．Ｉ．Ｇ．Ａ．,建築一般,0.903
六甲森林線道路防災対策工事,2024/7/3,事後審査型制限付一般競争入札,31,37064100,41020000,37055400,津田造園土木（株）,法面,0.903
令和６年度　下水道施設小規模工事（単価契約・東灘・灘・中央）,2024/3/1,単価契約,3,57455,57457,51865,（株）永川組建設,土木一般,0.903
令和６年度　下水道施設小規模工事（単価契約・長田・須磨）,2024/3/1,単価契約,3,51614,57141,51614,（株）神組,土木一般,0.903
取付管・接続ます改良工事（単価契約）,2024/3/1,単価契約,4,49500,51497,46483,大幸道路管理（株）,土木その他,0.903
見津が丘公園駐車場整備工事,2023/12/1,事後審査型制限付一般競争入札,37,24411200,27027000,24411200,（有）高木工務店,土木一般,0.903
神戸箕谷線防災対策工事,2023/10/13,事後審査型制限付一般競争入札,6,46529000,46529000,42019700,北神戸土木（株）,土木一般,0.903
ポートアイランド第２期駐車場整備工事,2023/10/13,事後審査型制限付一般競争入札,32,25623100,28382000,25623100,（株）大桜,土木一般,0.903
中央（熊内町３丁目）配水管取替工事,2023/8/4,事後審査型制限付一般競争入札 合併入札,5,110000000,115577000,104360400,（株）ＫＳＫ,土木一般,0.903
準用河川烏原川・小部川合流部改修工事,2023/8/2,事後審査型制限付一般競争入札,5,27900000,30911000,27898700,（株）共新建設,土木一般,0.903
令和７年度中部管内側溝整備単価契約工事,2025/3/7,単価契約,85,21709,24069,21709,大雄興業（株）,土木一般,0.902
令和７年度河川等単価契約工事（その１）,2025/3/5,単価契約,8,1888,2093,1888,（株）三成,土木一般,0.902
令和７年度所管地内管理工事（単価契約）,2025/3/5,単価契約,13,26204,29040,26204,（有）藤明建設工業,土木一般,0.902
平野三木線（押部谷地区）道路防災対策工事,2025/1/24,事後審査型制限付一般競争入札,14,29829700,32744000,29551000,（有）北神土木工業,土木一般,0.902
令和６年度　臨港道路舗装改修工事（その２）,2024/12/6,事後審査型制限付一般競争入札,41,50840700,56329000,50830000,（株）桜ノ宮興起,舗装,0.902
南須磨南地区集会所解体工事,2024/9/4,事後審査型制限付一般競争入札,33,16506000,18290000,16491400,ニッケみらい建設（株）,解体,0.902
和光園土砂災害対策工事,2024/7/3,事後審査型制限付一般競争入札,26,85500000,92916000,83844600,（株）塩屋基礎,法面,0.902
西垂水第５号線歩道改良工事（その３）,2024/6/12,事後審査型制限付一般競争入札,17,33154700,36758000,33154700,住本道路（株）,土木一般,0.902
六甲アイランド重量物クレーン５号機撤去工事,2024/6/7,事後審査型制限付一般競争入札,3,147840000,161550000,145748500,ＪＦＥエンジニアリング（株）,機械器具その他,0.902
唐櫃台２丁目地区他避難所下流汚水管耐震化工事,2024/5/15,事後審査型制限付一般競争入札,28,50991000,56482000,50965400,安場建設（株）,土木その他,0.902
淡河町公園改修工事,2023/12/1,事後審査型制限付一般競争入札,25,20986800,23266000,20985500,（株）中西総合ガーデン,造園一般,0.902
淡河排水管理施設基礎設置工事,2023/11/8,事後審査型制限付一般競争入札,4,20254700,22449000,20254700,（有）藤明建設工業,土木その他,0.902
ひよどり台地区他雨水幹線改修工事,2023/4/26,事後審査型制限付一般競争入札,21,65068500,72152000,65066400,京阪神道路サービス（株）,土木その他,0.902
しあわせの村テニスコート改修工事,2023/4/19,事後審査型制限付一般競争入札,49,27040700,29991000,27040700,（株）サンエコマック,運動施設,0.902
平野第５号線埋蔵文化財調査前土留め工事,2024/11/8,事後審査型制限付一般競争入札,32,80226800,89015000,80206900,（株）神盟,土木一般,0.901
プレンティ広場壁面補修工事,2024/11/8,事後審査型制限付一般競争入札,30,40529400,44961000,40529400,（株）コスモ建設,土木一般,0.901
令和６年度六甲有料道路舗装補修工事,2024/11/8,事後審査型制限付一般競争入札,20,51000000,52390000,47194400,（株）サンロード神戸,舗装,0.901
塩屋丸山線（妙法寺字東谷）歩道拡幅工事,2024/6/5,事後審査型制限付一般競争入札,20,36809600,40832000,36809600,（有）高木工務店,土木一般,0.901
神戸六甲線（六甲ケーブル下駅周辺）交差点改良工事,2024/4/26,事後審査型制限付一般競争入札,10,46000000,48104000,43322300,（株）六甲グリーン,土木一般,0.901
令和７年度北管内側溝整備単価契約工事,2025/3/7,単価契約,87,22007,24453,22007,重建設（株）,土木一般,0.9
令和７年度西部管内側溝整備単価契約工事,2025/3/7,単価契約,87,22079,24541,22079,六甲舗道（株）,土木一般,0.9
下小名田橋耐震補強・補修工事,2025/2/7,事後審査型制限付一般競争入札,39,61924700,68771000,61922300,山﨑建設（株）,ＰＣ,0.9
和田岬地区他雨水幹線改修工事,2025/2/5,事後審査型制限付一般競争入札,19,57125500,63433000,57117000,（株）Ｕ－ＴＥＣＨ,土木その他,0.9
令和６年度　農道舗装工事,2024/10/2,事後審査型制限付一般競争入札,16,14313800,15909000,14313800,平沼建設（株）,舗装,0.9
有野藤原線（岡場大橋）橋梁拡幅工事その１,2024/10/2,事後審査型制限付一般競争入札,19,45652000,50722000,45652000,ニッケみらい建設（株）,土木一般,0.9
東山菊水線街路築造工事（その４）,2024/8/21,事後審査型制限付一般競争入札 合併入札,11,33200000,36847000,33178700,（株）隆勢建設,土木一般,0.9
鵯越雨水幹線撤去工事,2024/8/21,事後審査型制限付一般競争入札 合併入札,11,33200000,36847000,33178700,（株）隆勢建設,土木一般,0.9
西神・山手線　軌道整備工事（令和６年度）,2024/7/3,事後審査型制限付一般競争入札,4,29444000,32686000,29401800,大鉄工業（株）,土木その他,0.9
令和６年度　第２布引トンネル補修工事,2024/6/5,事後審査型制限付一般競争入札,40,51563200,57275000,51563200,（株）間地工業,土木その他,0.9
令和６年度ネットフェンス新設・撤去工事（単価契約）,2024/3/1,単価契約,14,25018,27789,24999,（株）神戸グリーンフェンス,土木その他,0.9
友が丘中学校正門前歩道拡幅工事,2024/2/7,事後審査型制限付一般競争入札,12,26925800,29906000,26925800,玉津第一建設,土木一般,0.9
灘区六甲山町法面復旧工事（その２）,2024/2/7,事後審査型制限付一般競争入札,17,36765800,40792000,36729800,山崎建設（株）,法面,0.9
水占歩道橋補修工事,2024/2/2,事後審査型制限付一般競争入札,33,109269500,121374000,109269200,関西化工建設（株）,鋼構造物,0.9
長坂垂水線舗装補修工事,2023/12/1,事後審査型制限付一般競争入札,33,39964500,44412000,39964500,（有）藤亀土木興業,舗装,0.9
灘低層他フェンス更新工事,2023/12/1,事後審査型制限付一般競争入札,35,21003900,23324000,20980800,イノウエ道路管理（株）,土木その他,0.9
令和５年度　農道舗装工事,2023/10/13,事後審査型制限付一般競争入札,37,15715800,17467000,15715800,（有）ロテック・モリ,舗装,0.9
令和７年度東部管内側溝整備単価契約工事,2025/3/7,単価契約,80,22152,24631,22152,（有）鈴木建設,土木一般,0.899
大和公園テニスコート改修工事,2024/10/4,事後審査型制限付一般競争入札,45,19223300,21379000,19223300,（株）グリーンテクノ,運動施設,0.899
白坂公園内防火水槽新設工事,2024/9/4,事後審査型制限付一般競争入札,13,30826800,34261000,30811100,矢倉建設（有）,土木一般,0.899
下谷上高区配水場他防草対策工事,2024/8/23,事後審査型制限付一般競争入札,18,10221200,11368000,10214300,高山建工,土木その他,0.899
天神川護岸等改修工事,2024/7/12,事後審査型制限付一般競争入札,9,23112900,25718000,23112900,（有）ナガイ住建,土木一般,0.899
舞子ヶ浜高架橋補修工事,2024/7/10,事後審査型制限付一般競争入札,41,97014900,107893000,97010700,（株）大林建設,鋼構造物,0.899
葺合南１３５号線（旭通４）道路改良工事,2024/5/10,事後審査型制限付一般競争入札,14,15300000,17023000,15300000,（株）吉田工業,土木一般,0.899
狩場台中区入水流量計室整備工事,2024/4/26,事後審査型制限付一般競争入札,6,13955000,15518000,13954700,（株）共新建設,土木一般,0.899
臨港地区内道路・港湾緑地等維持補修工事（単価契約）,2024/3/1,単価契約,19,19728,21934,19728,松本建設（株）,土木一般,0.899
新港３突基部広場整備工事,2024/2/2,事後審査型制限付一般競争入札,18,29648300,32977000,29648300,（有）大西園芸,造園一般,0.899
寺口町防災対策工事,2023/11/8,事後審査型制限付一般競争入札,8,23515000,26143000,23505600,（株）ＨＯＵＲＹＵ,法面,0.899
山田三田線道路防災対策工事,2023/9/6,事後審査型制限付一般競争入札,12,13309400,14801000,13309400,東和資材（株）,法面,0.899
学園特１高層配水場防草対策工事その３,2023/9/1,事後審査型制限付一般競争入札,19,12632500,14055000,12631400,津田造園土木（株）,土木その他,0.899
西神・山手線　軌道整備工事（新長田～長田）,2023/7/5,事後審査型制限付一般競争入札,7,25880000,28780000,25864900,近鉄軌道エンジニアリング（株）,土木その他,0.899
中央（中山手通）舗装復旧工事,2023/6/9,事後審査型制限付一般競争入札,33,31190400,34701000,31190400,（有）ロテック・モリ,舗装,0.899
神戸三木線（白川）道路防災対策工事,2023/6/2,事後審査型制限付一般競争入札,14,23267900,25891000,23267900,福地建設（株）,法面,0.899
西垂水第５号線歩道改良工事（その２）,2023/5/10,事後審査型制限付一般競争入札,11,15670300,17440000,15670300,（株）フォワード,土木一般,0.899
山手幹線歩道改良工事（その２）,2023/4/19,事後審査型制限付一般競争入札,12,22322700,24824000,22322500,（有）高木工務店,土木一般,0.899
令和７年度西管内交通安全施設単価契約工事,2025/3/5,単価契約,46,21304,23733,21304,（株）大黒鉄工所,交通安全施設,0.898
篠原雨水幹線改築工事,2025/1/22,事後審査型制限付一般競争入札,4,31550000,34865000,31311500,（株）新神戸建設,土木一般,0.898
新港第４突堤受電ケーブル他更新工事,2025/1/22,事後審査型制限付一般競争入札,9,3626000,4000000,3592500,大東電設（株）,電気一般,0.898
東垂水１０３号線防護柵補修工事,2024/12/6,事後審査型制限付一般競争入札,39,48122200,53572000,48121900,（株）イノウエ,交通安全施設,0.898
甲栄台５丁目地区他汚水管改築工事,2024/11/8,事後審査型制限付一般競争入札,16,26470600,29469000,26470600,（株）兵庫技研,土木その他,0.898
奥畑公園他施設改修工事,2024/10/2,事後審査型制限付一般競争入札,22,17031300,18958000,17030800,（株）ハマダ商店,造園一般,0.898
西体育館玄関前舗装改修工事,2024/8/7,事後審査型制限付一般競争入札,30,12867900,14333000,12867900,（有）友起建設,土木一般,0.898
灘特１高層配水池電送線復旧工事,2024/7/10,事後審査型制限付一般競争入札,6,5867000,6454000,5798500,（株）シンテック,電気専門,0.898
筑紫が丘地区段差解消工事（その２）,2024/4/24,事後審査型制限付一般競争入札,13,39067400,43507000,39067400,（株）共新建設,土木一般,0.898
山麓線及び鯉川線舗装補修工事,2024/2/7,事後審査型制限付一般競争入札,35,42033800,46708000,41937100,（有）曽我部建設工業,舗装,0.898
令和５年度北建設事務所管内大型案内標識改修工事,2024/1/31,事後審査型制限付一般競争入札,24,22652900,25230000,22652400,富国合成塗料（株）,交通安全施設,0.898
神戸明石線（王塚台）交差点改良工事,2023/6/9,事後審査型制限付一般競争入札,2,91100000,91160000,81825500,（株）友興組,土木一般,0.898
獅子掛１号線道路防災対策工事,2023/6/9,事後審査型制限付一般競争入札,11,15522700,17277000,15522700,八雲建設（株）,法面,0.898
玉津処理場　２号洗浄水ポンプ吐出弁取替工事,2023/5/10,事後審査型制限付一般競争入札,6,11600000,12830000,11518800,アイテック（株）,機械器具その他,0.898
令和７年度河川等単価契約工事（その２）,2025/3/5,単価契約,7,1961,2185,1961,（株）吉田工業,土木一般,0.897
令和７年度北管内交通安全施設単価契約工事,2025/3/5,単価契約,47,21466,23931,21466,（株）ＮＥＯ　ＤＡＩＳＥＩ,交通安全施設,0.897
令和６年度東部管内防護柵更新工事,2025/2/7,事後審査型制限付一般競争入札,43,36140400,40272000,36140400,（株）隆勢建設,交通安全施設,0.897
住吉川公園ほか施設改修工事,2024/11/8,事後審査型制限付一般競争入札,20,14926800,16647000,14926600,（株）中西総合ガーデン,造園一般,0.897
住吉幹線他１線段差解消工事,2024/4/26,事後審査型制限付一般競争入札,10,29010600,32345000,29010500,（有）光栄建設,土木一般,0.897
横尾２号線歩道整備工事（その１）,2024/4/24,事後審査型制限付一般競争入札,15,12353200,13779000,12353200,（有）京阪神設備サービス,土木一般,0.897
鵯越大仏補修工事,2024/1/24,事後審査型制限付一般競争入札,31,12864400,14348000,12864400,八雲建設（株）,土木その他,0.897
令和５年度臨港道路舗装改修工事（その１）,2023/10/13,事後審査型制限付一般競争入札,55,25491900,28410000,25491900,（有）ダイエイ住建,舗装,0.897
高庄橋架替工事,2023/10/6,事後審査型制限付一般競争入札,3,8334700,9159000,8212700,（株）関西工専,土木一般,0.897
中央（新港町）鋼管更新工事その２,2023/9/6,事後審査型制限付一般競争入札,4,11570000,12871000,11544200,新日本工業（株）,鋼構造物,0.897
菊水鵯越線歩道拡幅工事,2023/7/5,事後審査型制限付一般競争入札,13,13129000,14631000,13128900,三好建設（株）,土木一般,0.897
岡本商店街舗装改修工事（その２）,2023/6/7,事後審査型制限付一般競争入札 合併入札,5,58510000,58517000,52501500,（株）ランドグリーン,土木一般,0.897
東灘（岡本１丁目）配水管取替工事その１,2023/6/7,事後審査型制限付一般競争入札 合併入札,5,58510000,58517000,52501500,（株）ランドグリーン,土木一般,0.897
西垂水第８号線擁壁補修工事,2024/12/4,事後審査型制限付一般競争入札,11,12026000,13420000,12026000,（株）吉田工業,土木一般,0.896
令和６年度　臨港道路舗装改修工事（その１）,2024/10/4,事後審査型制限付一般競争入札,57,21502900,24002000,21502900,（株）シビルロード,舗装,0.896
生田低区汚水幹線他改築工事,2024/10/2,事後審査型制限付一般競争入札,8,18980000,19771000,17712900,大幸道路管理（株）,土木その他,0.896
旧西小部浄水場施設解体工事,2024/6/7,事後審査型制限付一般競争入札,17,5248000,5851000,5243100,（株）山根商店,解体,0.896
港湾幹線道路等維持補修及び臨港地区防災対策工事（単価契約）,2024/3/1,単価契約,6,2173,2425,2173,（株）ＮＥＯ　ＤＡＩＳＥＩ,土木一般,0.896
中央卸売市場本場内舗装補修工事,2023/12/6,事後審査型制限付一般競争入札,20,17647800,19689000,17641100,（有）安川興業,舗装,0.896
天神橋耐震補強・補修工事,2023/11/8,事後審査型制限付一般競争入札,17,75383900,84126000,75372000,（株）サンロード,ＰＣ,0.896
渦森南公園施設改修工事,2023/10/4,事後審査型制限付一般競争入札,18,8625800,9625000,8624300,ウッドカンパニー（株）,造園一般,0.896
令和７年度垂水管内側溝整備単価契約工事,2025/3/7,単価契約,54,23169,25875,23169,日本道路安全（株）,土木一般,0.895
令和７年度中部管内交通安全施設単価契約工事,2025/3/5,単価契約,42,22042,24636,22042,東成建設（株）,交通安全施設,0.895
令和７年度西部管内交通安全施設単価契約工事,2025/3/5,単価契約,45,21913,24478,21913,（株）臼杵建設,交通安全施設,0.895
正慶町公園施設改修工事,2024/12/4,事後審査型制限付一般競争入札,27,13212300,14767000,13212300,（株）長畑造園,造園一般,0.895
メリケンパーク駐車場改修工事,2024/9/6,事後審査型制限付一般競争入札,24,21359300,23876000,21359200,（株）共新建設,土木一般,0.895
宝塚唐櫃線（杖捨橋東）歩道整備工事,2024/2/2,事後審査型制限付一般競争入札,8,10591300,11826000,10589800,（株）Ｕ－ＴＥＣＨ,土木一般,0.895
垂水健康公園園路舗装改修工事,2023/11/8,事後審査型制限付一般競争入札,32,13754400,15372000,13754400,きたむら緑司園,造園一般,0.895
辰巳雨水幹線改築工事,2023/8/4,事後審査型制限付一般競争入札,4,19817600,22134000,19816000,平沼建設,土木一般,0.895
多目的管理道開設工事,2023/6/7,事後審査型制限付一般競争入札,4,12270000,13674000,12244400,（株）メイテク,造園一般,0.895
舞子駅ロータリー他２箇所　防護柵補修工事,2024/9/4,事後審査型制限付一般競争入札,37,30076500,33632000,30076500,（有）二葉建設,交通安全施設,0.894
中央幹線ライトアップ工事,2024/8/7,事後審査型制限付一般競争入札,8,26325000,28721000,25688000,（株）オールライト,電気一般,0.894
篠原トンネル補修工事,2023/8/4,事後審査型制限付一般競争入札,34,29097400,32544000,29097000,（株）上田トランシットコンストラクション,土木その他,0.894
東垂水３０号線歩道設置工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,7,21634000,22304000,19950800,（株）利川興業,土木一般,0.894
乙木谷２号雨水幹線撤去工事,2023/4/21,事後審査型制限付一般競争入札 合併入札,7,21634000,22304000,19950800,（株）利川興業,土木一般,0.894
令和７年度東部管内交通安全施設単価契約工事,2025/3/5,単価契約,43,22617,25338,22617,（株）三谷組,交通安全施設,0.893
下三条町北地区防災街区整備事業にともなう汚水管移設工事,2024/12/4,事後審査型制限付一般競争入札,5,11703300,12721000,11361400,（有）松岡組,土木一般,0.893
本山北町公園防球ネット工事,2024/11/8,事後審査型制限付一般競争入札,42,9193100,10293000,9193100,（株）清水造園土木,運動施設,0.893
ハーバーランド北ブリッジ補修工事（その２）,2024/11/1,事後審査型制限付一般競争入札,14,47705500,53395000,47705400,ブリッジメンテナンス（株）,塗装,0.893
新港第４突堤門扉取替工事,2024/11/1,事後審査型制限付一般競争入札,9,23514100,26320000,23514100,（有）光洋重工,鋼構造物,0.893
須磨区禅昌寺町法面復旧工事,2024/9/11,事後審査型制限付一般競争入札,16,13356700,14942000,13345500,ＳＡＳＡＫＵＲＡ（株）,法面,0.893
高尾美ノ谷線道路防災対策工事,2024/8/7,事後審査型制限付一般競争入札,6,6500000,6905000,6169100,北神吉田建設（株）,法面,0.893
ひよどり台東歩道橋補修工事,2024/6/12,事後審査型制限付一般競争入札,27,46358600,51892000,46356700,日本ジッコウ（株）,鋼構造物,0.893
西垂水１９５号線道路法面復旧工事,2024/4/19,事後審査型制限付一般競争入札,4,5317200,5941000,5305700,（株）共新建設,土木一般,0.893
若宮５号線（須磨海浜公園駅前）歩道設置工事,2023/12/1,事後審査型制限付一般競争入札,14,18092600,20259000,18092600,（有）イズミテック,舗装,0.893
高速鉄道　まくらぎ交換工事（令和５年度）,2023/12/1,事後審査型制限付一般競争入札,2,13330000,13336000,11907700,大鉄工業（株）,土木その他,0.893
マリンピア神戸　水産体験学習館周辺園路改修工事,2023/11/8,事後審査型制限付一般競争入札,17,18003100,20137000,17986700,（株）東神,土木一般,0.893
森林作業道開設工事,2023/11/1,事後審査型制限付一般競争入札,5,4592800,5143000,4592800,（株）ツリーワークス,造園一般,0.893
渦森橋北側橋補修工事,2023/10/4,事後審査型制限付一般競争入札,27,52102500,58375000,52102400,（有）光洋重工,鋼構造物,0.893
西神６号線段差解消工事（その２）,2023/4/26,事後審査型制限付一般競争入札,12,16849000,18877000,16848800,住本道路（株）,土木一般,0.893
生田町公園施設改修工事,2024/12/4,事後審査型制限付一般競争入札,14,7959600,8917000,7950500,（有）マエダ体器製作所,造園一般,0.892
塩屋丸山線（塩屋大谷）歩道改良工事,2024/7/5,事後審査型制限付一般競争入札,4,6370000,6478000,5781600,（株）東神,土木一般,0.892
烏原貯水場亀の甲広場トイレ改修工事,2024/5/17,事後審査型制限付一般競争入札,8,5053300,5560000,4961300,（株）古本組,建築一般,0.892
五色山北小公園園路整備工事,2023/12/6,事後審査型制限付一般競争入札,6,2598000,2889000,2577300,理工建設（株）,土木一般,0.892
三ノ宮駅北口駅前広場舗装補修工事,2023/11/8,事後審査型制限付一般競争入札,23,12612000,14136000,12612000,（有）藤亀土木興業,舗装,0.892
令和７年度垂水管内交通安全施設単価契約工事,2025/3/5,単価契約,42,23009,25816,23009,（株）三成,交通安全施設,0.891
長田区大日丘町法面対策工事（その２）,2024/1/31,事後審査型制限付一般競争入札,10,7831200,8777000,7817100,（株）植信,法面,0.891
神戸明石線舗装補修工事,2023/10/4,事後審査型制限付一般競争入札,43,10146200,11400000,10146200,東成建設（株）,舗装,0.89
舞子坂歩道橋補修工事,2024/1/24,事後審査型制限付一般競争入札,28,37683600,42366000,37683600,（株）ウェイズ,鋼構造物,0.889
東白川台地区段差解消工事（その４）,2024/4/26,事後審査型制限付一般競争入札,15,11141600,12544000,11141600,（株）共新建設,土木一般,0.888
令和７年度　北及び西管内橋梁等補修単価契約工事,2025/3/5,単価契約,22,175535,197810,175535,ブリッジメンテナンス（株）,土木その他,0.887
海岸線　まくらぎ交換工事（令和６年度）,2025/1/24,事後審査型制限付一般競争入札,1,4480000,4487000,3979000,大鉄工業（株）,土木その他,0.887
西部処理場　１系エアレーションタンク点検通路蓋設置工事,2023/5/17,事後審査型制限付一般競争入札,2,49685000,54006000,47898600,日新工業（株）,機械器具その他,0.887
西神・山手線　絶縁ファイバー設置工事（令和６年度）,2024/12/4,事後審査型制限付一般競争入札,3,4897000,5240000,4644700,原野建設（株）,土木その他,0.886
高速鉄道　漏水・湧水防止まくらぎ補修工事単価契約（令和６年度）,2024/4/24,単価契約,1,57560,58118,51507,（有）水工社,土木その他,0.886
ハーバーランド北ブリッジ補修工事,2023/7/12,事後審査型制限付一般競争入札,19,19336100,21626000,19161400,西日本ロード・メンテナンス（株）,鋼構造物,0.886
池田小学校南門前側溝他整備工事,2025/1/29,事後審査型制限付一般競争入札,8,8080800,8500000,7521600,神澤建設（株）,土木一般,0.885
玉津処理場　１系水処理脱臭装置ダクト改修工事,2023/11/8,事後審査型制限付一般競争入札,2,28590000,31416000,27788700,日新工業（株）,管専門,0.885
房王寺歩道橋美装化工事,2023/8/4,事後審査型制限付一般競争入札,21,18302300,20670000,18302300,（株）大成工材,鋼構造物,0.885
令和７年度　東部、中部、西部及び垂水管内橋梁等補修単価契約工事,2025/3/5,単価契約,21,185692,210025,185692,日本ロード・メンテナンス（株）,土木その他,0.884
住吉橋（北側歩道橋）補修工事,2024/1/26,事後審査型制限付一般競争入札,25,20711200,23431000,20711200,日本ロード・メンテナンス（株）,鋼構造物,0.884
多聞伊川谷線（明舞シェルター）吸音板撤去工事,2023/6/7,事後審査型制限付一般競争入札,14,5986000,6778000,5983900,（株）シビルロード,土木一般,0.883
